Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BatteryHolder_Keystone_1060_1x2032,1,CR2032,
C1, C101, C102, C103, C104, C105, C109, C130, C140, C2, C3, C302, C304, C402, C403, C408, C410, C411, C413, C415, C416, C417, C5, C501, C502, C6,0402,26,100n,C307331
C106, C4, C412, C504,0603,4,4u7,C19666
C107, C108, C301, C409,0603,4,2u2,C23630
C110, C406,0402,2,1u,C52923
C111, C120,0402,2,12pF,C1547
C401,0603,1,10u,C96446
C407,0402,1,10n,C15195
C418,0402,1,220n,C16772
C503,0603,1,1u,C15849
D1,0402,1,5.5V|6V|15V,
D10, D11, D2, D201, D4, D9,0402,6,5.5V|6V|14V,
D102,0603,1,LED_WHITE,C2290
D103,0603,1,LED_RED,C2286
D3,0603,1,LED_EMERALD,C72043
D7,0603,1,LED_BLUE,C72041
D8,D_SOD-323,1,D_Schottky,C191023
FB2,0603,1,450m|600@100,C1002
FB3,0603,1,100m|120@100MHz,
H1, H2, H3,MountingHole_2.7mm_Pad_Via,3,MountingHole,
H4,MountingHole_2.7mm_Pad_Via,1,MountingHole_Pad,
HM-BT4052,HM-BT4052,1,~,
IC1,SOIC127P600X175-8N,1,M24128-BFMN6TP,
IC2,QFP50P1200X1200X160-64N_newft,1,STM32H562RGT6,
IC3,QMC5883L,1,QMC5883L,
IC6,IIM42352,1,ICM-42688-P,C1850418
IC8,ATGM336H5N31,1,SIM68M|ATGM336H,
IC9,BMI088,1,BMI088,C194919
J1, J13, J4, J6,PinHeader_1x03_P2.54mm_Vertical,4,Conn_01x03,
J10,DM3CSSF,1,DM3CS-SF,
J11,ZX62DB5PA830,1,USB_B_Micro,
J12,UFLRSMT180,1,U.FL-R-SMT-1_80_,
J14,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0,
J16,PinHeader_1x02_P2.54mm_Vertical,1,5Vin,
J3,PinHeader_1x08_P2.54mm_Vertical,1,Conn_01x08,
J5,PinHeader_1x04_P2.54mm_Vertical,1,EXTERNAL USART,
J7,PinHeader_1x02_P2.54mm_Vertical,1,Conn_I2C3,
J8,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04,
J9,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02,
JP1, JP2, JP3, JP5, JP6, JP7, JP8, JP9,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,8,SolderJumper_2_Open,
JP4,PinHeader_1x02_P2.54mm_Vertical,1,Jumper_2_Open,
L2,0603,1,27n|47n,
Q2,SOT-23,1,NPN,C20526
R1,0402,1,100k,C25741
R101, R207, R208, R209, R307, R401, R402,0402,7,47,C25092
R103, R104,0603,2,2k2,C4190
R105, R2, R211, R3, R302, R303, R304, R305, R306, R408, R409,0402,11,10k,C25744
R201, R202, R203, R204,0402,4,4k7,C25900
R205, R206, R215, R216, R217, R218, R219,0402,7,470,C25117
R210, R502, R503,0402,3,5k1,C25905
R212, R213, R214, R403,0402,4,10,C25077
R301,0402,1,1M,C26083
R406,0402,1,2k2,C4190
R407, R501,0603,2,1k,C21190
SW1,SW_Push_1P1T_NO_6x6mm_H9.5mm,1,NRST,
SW4,SW_Push_1P1T_NO_6x6mm_H9.5mm,1,USER_BUTT,
TP1, TP2,TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded,2,TestPoint,
U1,ST_HLGA-10_2x2mm_P0.5mm_LayoutBorder3x2y,1,LPS22HB,C94049
U10,SOT-223-3_TabPin2,1,LDL1117S33R,
U2,Bosch_LGA-8_2x2.5mm_P0.65mm_ClockwisePinNumbering,1,SPL06,C2684428
U7,SOT-23-6,1,USBLC6-2SC6,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,HSE_25MHz|12pF,C9006
